 Teste1 Teste2 Teste3 Teste4 Teste5 Teste6 Teste7 Teste8 Teste9 Teste10 Media Melhor xBest yBest
gBest1 -545,940513 -594,748969 -659,225637 -709,806303 -702,140197 -915,521986 -672,351599 -335,736859 -679,189806 -886,369285 -670,1031154 -915,521986493238 486,71107406336864 441,1818171414194
gBest2 -828,560284 -746,763866 -659,225637 -790,962162 -702,140197 -915,521986 -881,42257 -807,422386 -830,430027 -886,369285 -804,88184 -915,521986493238 486,71107406336864 441,1818171414194
gBest3 -828,560284 -818,941674 -725,653226 -790,962162 -702,140197 -915,521986 -904,354388 -815,271792 -957,267471 -886,369285 -834,5042465 -957,2674708477725 512,0 405,67015409511896
gBest4 -828,560284 -819,337877 -813,50503 -790,962162 -702,140197 -933,321061 -954,703237 -818,843417 -957,267471 -929,715987 -854,8356723 -957,2674708477725 512,0 405,67015409511896
gBest5 -828,560284 -850,664765 -819,169639 -858,201105 -702,140197 -933,321061 -959,585835 -818,843417 -957,267471 -929,715987 -865,7469761 -959,5858350167259 512,0 404,4512562354801
gBest6 -925,124173 -854,870189 -820,658588 -879,950245 -702,140197 -958,362545 -959,585835 -818,843417 -957,267471 -942,650617 -881,9453277 -959,5858350167259 512,0 404,4512562354801
gBest7 -925,124173 -958,525343 -821,161083 -879,950245 -702,140197 -958,362545 -959,585835 -820,014259 -958,038467 -952,035247 -893,4937394 -959,5858350167259 512,0 404,4512562354801
gBest8 -941,255537 -958,525343 -821,161083 -879,950245 -702,140197 -958,362545 -959,585835 -820,014259 -959,377204 -952,035247 -895,2407495 -959,5858350167259 512,0 404,4512562354801
gBest9 -957,666417 -958,525343 -821,161083 -879,950245 -737,830981 -959,020824 -959,585835 -820,014259 -959,377204 -958,974365 -901,2106556 -959,5858350167259 512,0 404,4512562354801
gBest10 -957,666417 -958,525343 -821,18948 -879,950245 -737,830981 -959,448603 -959,585835 -821,113546 -959,377204 -958,974365 -901,3662019 -959,5858350167259 512,0 404,4512562354801
