 Teste1 Teste2 Teste3 Teste4 Teste5 Teste6 Teste7 Teste8 Teste9 Teste10 Media Melhor xBest yBest
gBest1 -650,905712 -846,961987 -656,476861 -600,636122 -839,893372 -657,778405 -854,234186 -824,83273 -791,886943 -857,95347 -758,1559788 -857,9534704367494 500,9104806111618 452,43100761060987
gBest2 -668,622316 -849,470315 -731,230411 -629,47631 -839,893372 -657,778405 -855,476484 -857,104464 -791,886943 -857,95347 -773,8892490000001 -857,9534704367494 500,9104806111618 452,43100761060987
gBest3 -959,56869 -849,470315 -858,252565 -741,336143 -839,893372 -922,280239 -855,476484 -857,104464 -791,886943 -956,355808 -863,1625023 -959,5686902965733 512,0 404,4832110504844
gBest4 -959,56869 -855,389817 -858,252565 -889,834502 -895,432694 -922,280239 -855,476484 -950,620858 -791,886943 -956,355808 -893,50986 -959,5686902965733 512,0 404,4832110504844
gBest5 -959,56869 -855,389817 -890,831896 -913,722734 -895,432694 -937,308449 -855,476484 -959,285965 -796,967888 -959,603836 -902,3588453 -959,6038361898466 512 404,41168163004227
gBest6 -959,56869 -855,739489 -958,237461 -918,616048 -895,432694 -937,308449 -857,889154 -959,285965 -858,446758 -959,603836 -916,0128544 -959,6038361898466 512 404,41168163004227
gBest7 -959,56869 -871,590549 -958,237461 -918,616048 -895,432694 -952,296403 -932,640604 -959,285965 -919,154439 -959,603836 -932,6426689 -959,6038361898466 512 404,41168163004227
gBest8 -959,574547 -915,488915 -959,636221 -959,421107 -923,136658 -957,032931 -953,979646 -959,285965 -919,154439 -959,603836 -946,6314265 -959,6362214289518 512 404,29429601561543
gBest9 -959,574547 -915,488915 -959,636221 -959,421107 -923,136658 -957,032931 -954,066463 -959,285965 -919,154439 -959,603836 -946,6401082 -959,6362214289518 512 404,29429601561543
gBest10 -959,640084 -915,488915 -959,636221 -959,421107 -941,144334 -959,617153 -959,210727 -959,285965 -919,154439 -959,603836 -949,2202781 -959,6400838601355 512,0 404,25436862677344
