 Teste1 Teste2 Teste3 Teste4 Teste5 Teste6 Teste7 Teste8 Teste9 Teste10 Media Melhor xBest yBest
gBest1 -784,358728 -882,866081 -704,891637 -835,138041 -884,94701 -715,602462 -676,317326 -660,91851 -640,582204 -834,70454 -762,0326539 -884,9470102356415 349,8373760278175 503,9063274029419
gBest2 -818,394574 -882,866081 -704,891637 -866,910989 -884,94701 -808,135394 -676,317326 -943,368888 -640,582204 -847,740996 -807,4155099 -943,3688877315474 512 407,9757249349972
gBest3 -820,737307 -882,866081 -797,456841 -866,910989 -884,94701 -838,847613 -774,575607 -950,920986 -816,679674 -937,043792 -857,0985900000001 -950,9209862711239 512,0 406,9790288014916
gBest4 -820,737307 -897,195515 -819,892688 -913,430092 -884,94701 -857,939564 -774,575607 -959,224641 -820,584351 -937,043792 -868,5570567 -959,2246412284342 512,0 403,62561490755525
gBest5 -820,737307 -936,085188 -821,193052 -913,430092 -884,94701 -859,697782 -774,575607 -959,224641 -820,584351 -955,916847 -874,6391877 -959,2246412284342 512,0 403,62561490755525
gBest6 -857,932397 -936,085188 -833,62358 -935,45258 -884,94701 -859,697782 -779,260058 -959,224641 -820,584351 -959,612885 -882,6420472 -959,6128852472493 512,0 404,3880386102121
gBest7 -857,932397 -936,085188 -833,62358 -959,018403 -888,440782 -859,697782 -855,227666 -959,224641 -821,136535 -959,612885 -892,9999859 -959,6128852472493 512,0 404,3880386102121
gBest8 -857,932397 -954,986228 -833,62358 -959,018403 -956,595321 -924,43556 -855,227666 -959,224641 -821,136535 -959,612885 -908,1793216 -959,6128852472493 512,0 404,3880386102121
gBest9 -958,716952 -954,986228 -843,48357 -959,018403 -956,595321 -956,709028 -855,227666 -959,294909 -821,136535 -959,639679 -922,4808290999999 -959,6396788331554 512 404,2612210417883
gBest10 -958,716952 -954,986228 -914,055181 -959,018403 -956,595321 -956,709028 -855,227666 -959,637612 -821,195421 -959,639679 -929,5781491 -959,6396788331554 512 404,2612210417883
